Symptom,Hypertension,Coronary artery disease,Heart attack (Myocardial infarction),Heart failure,Arrhythmia,Peripheral artery disease,Stroke,Atherosclerosis,Atrial fibrillation,Deep vein thrombosis (DVT),Asthma,Chronic obstructive pulmonary disease (COPD),Pneumonia,Bronchitis,Tuberculosis,Pulmonary embolism,Lung cancer,Cystic fibrosis,Sleep apnea,Influenza (Flu),Alzheimer’s disease,Parkinson’s disease,Epilepsy,Migraine,Multiple sclerosis (MS),Amyotrophic lateral sclerosis (ALS),Dementia,Peripheral neuropathy,Bell’s palsy,Stroke (neurological),Diabetes mellitus (Type 1 & Type 2),Hypothyroidism,Hyperthyroidism,Cushing’s syndrome,Addison’s disease,Polycystic ovary syndrome (PCOS),Metabolic syndrome,Obesity,Gout,Hypoglycemia,Common cold,COVID-19,"Hepatitis A, B, or C",HIV/AIDS,Malaria,Lyme disease,Chickenpox (Varicella),Measles,Mumps,Rubella,Rheumatoid arthritis,Lupus (Systemic lupus erythematosus),Psoriasis,Celiac disease,Crohn’s disease,Ulcerative colitis,Ankylosing spondylitis,Graves’ disease,Sjögren’s syndrome,Scleroderma,Gastroesophageal reflux disease (GERD),Peptic ulcer disease,Irritable bowel syndrome (IBS),Gallstones,Pancreatitis,Liver cirrhosis,Hepatitis,Constipation,Hemorrhoids,Gastritis,Osteoarthritis,Osteoporosis,Fibromyalgia,Back pain,Scoliosis,Tendonitis,Carpal tunnel syndrome,Bursitis,Gout (musculoskeletal),Fractures,Cataracts,Glaucoma,Macular degeneration,Conjunctivitis (Pink eye),Tinnitus,Hearing loss,Meniere’s disease,Dry eye syndrome,Retinal detachment,Ear infection (Otitis media),Acne,Eczema (Atopic dermatitis),Psoriasis (skin),Rosacea,"Skin cancer (Melanoma, BCC, SCC)",Warts,Fungal infections,Hives (Urticaria),Shingles (Herpes zoster),Vitiligo
Cold hands,0.078,0.022,0.044,0.044,0.025,0.012,0.072,0.084,0.094,0.063,0.026,0.09,0.097,0.095,0.061,0.09,0.099,0.09,0.016,0.022,0.037,0.045,0.023,0.099,0.081,0.07,0.097,0.039,0.074,0.095,0.017,0.064,0.082,0.011,0.09,0.048,0.025,0.087,0.027,0.035,0.057,0.092,0.054,0.092,0.015,0.031,0.038,0.05,0.049,0.014,0.077,0.078,0.051,0.017,0.06,0.022,0.098,0.066,0.076,0.012,0.044,0.091,0.044,0.013,0.07,0.073,0.04,0.082,0.087,0.081,0.047,0.041,0.095,0.075,0.06,0.054,0.4,0.092,0.093,0.018,0.07,0.039,0.056,0.02,0.083,0.083,0.02,0.017,0.044,0.024,0.082,0.08,0.088,0.011,0.011,0.083,0.088,0.066,0.024,0.066
Cold feet,0.088,0.051,0.089,0.081,0.02,0.3,0.073,0.028,0.077,0.017,0.018,0.096,0.01,0.081,0.031,0.014,0.017,0.039,0.058,0.053,0.028,0.099,0.064,0.027,0.036,0.071,0.088,0.016,0.027,0.011,0.026,0.028,0.023,0.059,0.098,0.073,0.073,0.017,0.027,0.039,0.099,0.025,0.067,0.063,0.064,0.056,0.036,0.048,0.084,0.076,0.058,0.069,0.097,0.033,0.078,0.016,0.016,0.041,0.076,0.066,0.084,0.017,0.079,0.074,0.011,0.077,0.018,0.063,0.092,0.043,0.071,0.071,0.016,0.034,0.086,0.051,0.077,0.053,0.055,0.079,0.038,0.1,0.027,0.063,0.014,0.042,0.052,0.052,0.093,0.086,0.098,0.052,0.091,0.051,0.023,0.078,0.048,0.012,0.023,0.039
Burning sensation,0.099,0.067,0.046,0.011,0.081,0.07,0.026,0.063,0.027,0.019,0.045,0.023,0.04,0.012,0.045,0.037,0.096,0.059,0.03,0.054,0.075,0.049,0.095,0.024,0.097,0.015,0.097,0.4,0.039,0.053,0.036,0.031,0.095,0.082,0.047,0.011,0.038,0.024,0.067,0.072,0.049,0.021,0.022,0.035,0.075,0.083,0.088,0.043,0.097,0.016,0.05,0.048,0.029,0.039,0.031,0.088,0.038,0.092,0.098,0.081,0.06,0.062,0.04,0.027,0.021,0.039,0.067,0.097,0.031,0.063,0.031,0.084,0.054,0.052,0.012,0.056,0.019,0.078,0.066,0.017,0.054,0.064,0.09,0.096,0.034,0.05,0.08,0.081,0.035,0.023,0.086,0.015,0.032,0.067,0.039,0.084,0.053,0.023,0.035,0.039
Tingling fingers,0.099,0.064,0.058,0.084,0.068,0.096,0.064,0.021,0.076,0.076,0.028,0.082,0.035,0.081,0.048,0.084,0.011,0.033,0.023,0.012,0.069,0.079,0.017,0.052,0.092,0.023,0.066,0.6,0.063,0.078,0.02,0.035,0.035,0.074,0.051,0.025,0.022,0.096,0.021,0.088,0.06,0.043,0.038,0.075,0.06,0.067,0.068,0.046,0.039,0.085,0.013,0.035,0.061,0.061,0.089,0.015,0.075,0.022,0.016,0.016,0.024,0.057,0.095,0.031,0.078,0.098,0.04,0.047,0.078,0.054,0.059,0.057,0.068,0.046,0.024,0.084,0.7,0.05,0.02,0.092,0.033,0.032,0.068,0.06,0.015,0.086,0.03,0.014,0.03,0.031,0.024,0.088,0.055,0.039,0.078,0.07,0.012,0.079,0.054,0.07
Tingling toes,0.073,0.06,0.014,0.063,0.029,0.062,0.011,0.073,0.062,0.043,0.091,0.025,0.029,0.058,0.092,0.077,0.035,0.06,0.056,0.024,0.028,0.065,0.04,0.039,0.033,0.021,0.036,0.6,0.064,0.069,0.056,0.047,0.027,0.014,0.082,0.077,0.089,0.028,0.061,0.077,0.085,0.071,0.09,0.084,0.042,0.015,0.066,0.061,0.09,0.033,0.056,0.038,0.029,0.026,0.04,0.055,0.075,0.075,0.051,0.045,0.078,0.093,0.053,0.064,0.082,0.07,0.094,0.017,0.02,0.01,0.013,0.015,0.011,0.035,0.01,0.05,0.7,0.097,0.019,0.043,0.068,0.097,0.077,0.044,0.035,0.069,0.037,0.013,0.021,0.023,0.051,0.094,0.098,0.092,0.021,0.067,0.096,0.081,0.089,0.094
Skin peeling,0.026,0.02,0.075,0.051,0.09,0.073,0.035,0.012,0.061,0.016,0.072,0.029,0.046,0.044,0.013,0.049,0.052,0.026,0.011,0.091,0.069,0.096,0.089,0.074,0.075,0.028,0.034,0.07,0.097,0.027,0.072,0.083,0.1,0.014,0.061,0.087,0.06,0.073,0.081,0.074,0.077,0.036,0.018,0.043,0.084,0.059,0.044,0.091,0.075,0.059,0.039,0.068,0.3,0.062,0.043,0.099,0.079,0.023,0.071,0.09,0.071,0.047,0.097,0.018,0.033,0.022,0.093,0.068,0.051,0.059,0.071,0.09,0.041,0.093,0.098,0.023,0.041,0.067,0.077,0.087,0.062,0.098,0.081,0.084,0.046,0.084,0.089,0.099,0.059,0.057,0.3,0.3,0.32,0.3,0.077,0.3,0.3,0.3,0.039,0.32
Skin thickening,0.044,0.094,0.057,0.084,0.03,0.042,0.047,0.078,0.02,0.068,0.051,0.085,0.091,0.027,0.01,0.081,0.055,0.02,0.023,0.016,0.096,0.032,0.047,0.084,0.059,0.019,0.083,0.012,0.013,0.021,0.027,0.08,0.016,0.033,0.096,0.048,0.042,0.046,0.073,0.037,0.045,0.029,0.049,0.063,0.053,0.065,0.014,0.054,0.013,0.039,0.013,0.073,0.3,0.045,0.059,0.019,0.072,0.066,0.042,0.6,0.054,0.012,0.013,0.054,0.092,0.053,0.059,0.017,0.075,0.074,0.093,0.051,0.077,0.032,0.099,0.013,0.038,0.08,0.087,0.029,0.047,0.011,0.022,0.088,0.08,0.094,0.05,0.055,0.052,0.073,0.3,0.3,0.32,0.3,0.063,0.3,0.3,0.3,0.036,0.32
Ulcers,0.036,0.04,0.02,0.024,0.085,0.028,0.054,0.011,0.08,0.083,0.091,0.08,0.014,0.026,0.041,0.071,0.086,0.031,0.05,0.073,0.092,0.019,0.023,0.077,0.095,0.061,0.049,0.043,0.073,0.012,0.057,0.072,0.067,0.02,0.053,0.035,0.06,0.048,0.016,0.034,0.095,0.042,0.046,0.093,0.092,0.089,0.021,0.025,0.061,0.07,0.05,0.1,0.044,0.034,0.016,0.081,0.027,0.047,0.06,0.031,0.023,0.022,0.073,0.011,0.015,0.081,0.02,0.07,0.063,0.011,0.089,0.022,0.093,0.087,0.082,0.027,0.053,0.053,0.019,0.045,0.067,0.059,0.082,0.023,0.021,0.056,0.088,0.016,0.056,0.099,0.061,0.032,0.078,0.086,0.043,0.03,0.034,0.015,0.049,0.088
Open sores,0.08,0.012,0.07,0.094,0.045,0.065,0.088,0.077,0.021,0.065,0.081,0.09,0.068,0.078,0.024,0.064,0.036,0.08,0.049,0.013,0.016,0.018,0.09,0.023,0.068,0.043,0.045,0.052,0.083,0.093,0.037,0.058,0.039,0.038,0.095,0.056,0.045,0.088,0.072,0.073,0.093,0.064,0.069,0.062,0.052,0.018,0.054,0.041,0.057,0.067,0.033,0.034,0.034,0.036,0.056,0.038,0.092,0.092,0.061,0.041,0.038,0.084,0.057,0.047,0.034,0.048,0.069,0.079,0.09,0.023,0.079,0.037,0.072,0.043,0.059,0.039,0.082,0.062,0.026,0.075,0.089,0.067,0.029,0.081,0.085,0.026,0.068,0.055,0.032,0.054,0.034,0.061,0.058,0.023,0.065,0.033,0.097,0.083,0.099,0.01
Bruising easily,0.027,0.094,0.094,0.051,0.099,0.063,0.035,0.061,0.028,0.015,0.048,0.098,0.064,0.053,0.045,0.021,0.026,0.043,0.082,0.015,0.086,0.035,0.059,0.034,0.081,0.093,0.072,0.028,0.09,0.061,0.011,0.04,0.066,0.25,0.049,0.031,0.066,0.061,0.034,0.06,0.086,0.024,0.06,0.039,0.03,0.083,0.084,0.028,0.065,0.096,0.018,0.077,0.098,0.034,0.054,0.019,0.086,0.03,0.051,0.025,0.026,0.03,0.02,0.031,0.038,0.062,0.064,0.045,0.029,0.019,0.017,0.074,0.05,0.077,0.045,0.065,0.044,0.059,0.034,0.089,0.054,0.081,0.057,0.039,0.055,0.065,0.085,0.065,0.044,0.073,0.064,0.073,0.044,0.081,0.029,0.038,0.046,0.032,0.036,0.031
Bleeding gums,0.064,0.052,0.012,0.094,0.032,0.073,0.051,0.082,0.045,0.041,0.044,0.054,0.075,0.092,0.018,0.033,0.031,0.043,0.1,0.053,0.025,0.087,0.068,0.064,0.083,0.086,0.098,0.043,0.078,0.018,0.092,0.018,0.073,0.015,0.017,0.094,0.051,0.036,0.087,0.035,0.092,0.031,0.038,0.057,0.031,0.018,0.015,0.069,0.081,0.096,0.095,0.026,0.059,0.095,0.091,0.031,0.083,0.028,0.074,0.016,0.019,0.15,0.026,0.021,0.052,0.078,0.075,0.024,0.6,0.032,0.011,0.087,0.079,0.056,0.012,0.055,0.015,0.022,0.014,0.024,0.022,0.088,0.085,0.062,0.035,0.032,0.026,0.02,0.032,0.068,0.078,0.016,0.044,0.01,0.22,0.082,0.071,0.046,0.059,0.046
Nosebleeds,0.03,0.097,0.095,0.042,0.064,0.075,0.077,0.078,0.057,0.047,0.055,0.055,0.082,0.029,0.064,0.043,0.037,0.064,0.047,0.044,0.044,0.038,0.028,0.011,0.049,0.067,0.023,0.088,0.081,0.077,0.068,0.037,0.032,0.011,0.03,0.05,0.054,0.052,0.052,0.089,0.052,0.047,0.015,0.095,0.091,0.093,0.037,0.015,0.052,0.045,0.069,0.049,0.064,0.042,0.056,0.053,0.094,0.088,0.053,0.042,0.027,0.093,0.025,0.099,0.023,0.074,0.034,0.012,0.03,0.057,0.012,0.046,0.082,0.051,0.066,0.036,0.015,0.057,0.021,0.049,0.054,0.079,0.013,0.08,0.076,0.061,0.016,0.097,0.094,0.044,0.069,0.05,0.075,0.034,0.023,0.092,0.018,0.045,0.045,0.014
Chapped lips,0.037,0.096,0.028,0.061,0.048,0.084,0.024,0.059,0.033,0.092,0.01,0.016,0.087,0.034,0.053,0.016,0.052,0.098,0.093,0.054,0.017,0.051,0.091,0.066,0.098,0.087,0.096,0.033,0.06,0.09,0.083,0.04,0.07,0.057,0.07,0.085,0.063,0.071,0.083,0.08,0.032,0.083,0.049,0.034,0.095,0.037,0.098,0.099,0.015,0.063,0.082,0.033,0.084,0.06,0.086,0.03,0.096,0.052,0.024,0.019,0.059,0.043,0.077,0.048,0.04,0.017,0.025,0.053,0.094,0.016,0.038,0.09,0.049,0.083,0.024,0.053,0.013,0.094,0.021,0.031,0.089,0.054,0.096,0.063,0.046,0.086,0.036,0.065,0.025,0.024,0.039,0.044,0.017,0.017,0.082,0.011,0.059,0.054,0.018,0.097
Dry lips,0.083,0.068,0.099,0.01,0.026,0.022,0.099,0.043,0.072,0.084,0.042,0.061,0.014,0.09,0.04,0.014,0.062,0.099,0.065,0.084,0.027,0.025,0.045,0.099,0.02,0.063,0.065,0.057,0.085,0.036,0.016,0.065,0.033,0.068,0.073,0.019,0.065,0.072,0.013,0.087,0.07,0.073,0.083,0.042,0.056,0.036,0.074,0.046,0.083,0.031,0.099,0.038,0.3,0.032,0.023,0.024,0.017,0.063,0.021,0.02,0.05,0.023,0.017,0.079,0.072,0.062,0.075,0.049,0.021,0.068,0.095,0.06,0.063,0.094,0.029,0.053,0.013,0.024,0.027,0.016,0.013,0.087,0.033,0.027,0.055,0.069,0.046,0.074,0.039,0.022,0.3,0.3,0.32,0.3,0.092,0.3,0.3,0.3,0.08,0.32
Facial swelling,0.047,0.054,0.099,0.5,0.09,0.032,0.064,0.096,0.092,0.5,0.048,0.079,0.067,0.074,0.082,0.044,0.01,0.053,0.084,0.055,0.029,0.04,0.069,0.076,0.055,0.058,0.09,0.099,0.065,0.065,0.049,0.095,0.082,0.051,0.075,0.059,0.058,0.078,0.3,0.04,0.047,0.066,0.081,0.053,0.089,0.094,0.092,0.065,0.031,0.038,0.063,0.05,0.037,0.069,0.013,0.031,0.091,0.033,0.034,0.058,0.014,0.096,0.05,0.046,0.049,0.3,0.082,0.035,0.083,0.059,0.048,0.3,0.096,0.082,0.068,0.3,0.064,0.3,0.32,0.3,0.07,0.036,0.02,0.031,0.099,0.06,0.04,0.059,0.028,0.072,0.017,0.068,0.095,0.012,0.022,0.077,0.033,0.069,0.07,0.047
Puffy eyes,0.092,0.028,0.025,0.019,0.094,0.038,0.059,0.059,0.016,0.098,0.089,0.087,0.01,0.032,0.08,0.081,0.095,0.097,0.02,0.051,0.021,0.079,0.08,0.052,0.021,0.07,0.035,0.017,0.081,0.042,0.045,0.027,0.095,0.075,0.092,0.066,0.097,0.079,0.099,0.025,0.041,0.057,0.072,0.027,0.099,0.078,0.042,0.041,0.045,0.078,0.019,0.056,0.083,0.029,0.027,0.067,0.08,0.077,0.016,0.099,0.03,0.069,0.092,0.054,0.079,0.045,0.068,0.028,0.014,0.051,0.01,0.042,0.099,0.094,0.068,0.047,0.085,0.097,0.088,0.018,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.066,0.013,0.085,0.039,0.038,0.084,0.036,0.087,0.015,0.037,0.097
Dark circles,0.022,0.033,0.044,0.024,0.041,0.047,0.017,0.058,0.017,0.038,0.037,0.012,0.098,0.039,0.074,0.088,0.094,0.064,0.087,0.043,0.019,0.034,0.04,0.09,0.026,0.029,0.082,0.031,0.035,0.086,0.06,0.059,0.087,0.083,0.059,0.062,0.072,0.037,0.06,0.037,0.091,0.078,0.014,0.093,0.048,0.069,0.034,0.015,0.016,0.095,0.063,0.02,0.053,0.052,0.043,0.059,0.034,0.063,0.061,0.081,0.017,0.025,0.068,0.061,0.088,0.067,0.012,0.03,0.074,0.025,0.096,0.088,0.056,0.099,0.01,0.057,0.035,0.082,0.08,0.027,0.059,0.015,0.029,0.07,0.027,0.058,0.041,0.046,0.063,0.092,0.036,0.032,0.087,0.021,0.048,0.068,0.055,0.098,0.046,0.027
Swollen eyelids,0.033,0.022,0.027,0.068,0.021,0.07,0.022,0.014,0.1,0.077,0.076,0.072,0.022,0.03,0.096,0.062,0.069,0.075,0.085,0.011,0.02,0.029,0.023,0.075,0.081,0.088,0.039,0.047,0.069,0.071,0.05,0.028,0.067,0.029,0.042,0.088,0.087,0.07,0.054,0.095,0.049,0.033,0.049,0.024,0.08,0.085,0.077,0.057,0.028,0.02,0.036,0.036,0.026,0.079,0.053,0.079,0.016,0.051,0.037,0.03,0.028,0.088,0.086,0.097,0.034,0.053,0.049,0.022,0.08,0.068,0.045,0.099,0.06,0.068,0.023,0.034,0.043,0.033,0.019,0.088,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.096,0.094,0.087,0.062,0.093,0.093,0.066,0.098,0.01,0.096,0.039
Itchy eyes,0.072,0.06,0.061,0.01,0.027,0.02,0.038,0.079,0.033,0.082,0.063,0.067,0.07,0.096,0.061,0.042,0.044,0.066,0.09,0.039,0.087,0.042,0.078,0.058,0.054,0.049,0.061,0.072,0.019,0.091,0.031,0.088,0.028,0.047,0.1,0.017,0.071,0.098,0.05,0.022,0.076,0.03,0.019,0.033,0.093,0.047,0.099,0.068,0.09,0.09,0.018,0.093,0.065,0.018,0.033,0.064,0.077,0.094,0.032,0.053,0.035,0.025,0.078,0.076,0.093,0.054,0.099,0.082,0.09,0.019,0.055,0.031,0.062,0.01,0.073,0.094,0.078,0.06,0.025,0.077,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.028,0.037,0.016,0.05,0.066,0.013,0.075,0.075,0.043,0.078,0.078
Watery eyes,0.085,0.049,0.072,0.085,0.024,0.044,0.025,0.013,0.026,0.086,0.048,0.018,0.024,0.017,0.047,0.049,0.073,0.025,0.074,0.074,0.09,0.058,0.091,0.063,0.097,0.063,0.04,0.051,0.085,0.063,0.069,0.029,0.05,0.025,0.085,0.05,0.038,0.065,0.093,0.082,0.085,0.028,0.037,0.08,0.052,0.018,0.062,0.082,0.021,0.015,0.076,0.058,0.087,0.06,0.046,0.068,0.074,0.084,0.015,0.026,0.089,0.082,0.032,0.015,0.087,0.059,0.017,0.059,0.018,0.057,0.018,0.034,0.059,0.085,0.014,0.054,0.085,0.023,0.081,0.073,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.099,0.04,0.013,0.011,0.012,0.07,0.012,0.083,0.013,0.039,0.078
Difficulty focusing,0.083,0.063,0.017,0.027,0.096,0.019,0.081,0.059,0.043,0.081,0.077,0.064,0.075,0.099,0.038,0.07,0.082,0.055,0.036,0.036,0.024,0.059,0.023,0.07,0.059,0.036,0.057,0.079,0.024,0.084,0.036,0.066,0.014,0.044,0.014,0.049,0.012,0.064,0.01,0.034,0.032,0.041,0.041,0.043,0.056,0.058,0.046,0.061,0.031,0.023,0.034,0.031,0.039,0.07,0.043,0.084,0.081,0.044,0.014,0.074,0.066,0.015,0.029,0.047,0.087,0.06,0.066,0.081,0.012,0.066,0.067,0.094,0.093,0.027,0.016,0.034,0.014,0.021,0.045,0.085,0.021,0.06,0.058,0.01,0.066,0.033,0.087,0.026,0.095,0.055,0.094,0.056,0.044,0.079,0.058,0.016,0.034,0.024,0.016,0.073
Tunnel vision,0.066,0.037,0.025,0.061,0.07,0.076,0.047,0.024,0.032,0.048,0.075,0.043,0.075,0.058,0.029,0.038,0.08,0.017,0.089,0.084,0.036,0.098,0.045,0.042,0.078,0.078,0.088,0.014,0.046,0.031,0.071,0.041,0.071,0.036,0.096,0.092,0.012,0.018,0.044,0.047,0.035,0.036,0.062,0.083,0.055,0.093,0.079,0.076,0.043,0.06,0.055,0.026,0.098,0.04,0.098,0.052,0.085,0.016,0.072,0.013,0.072,0.015,0.087,0.031,0.092,0.029,0.079,0.042,0.085,0.033,0.038,0.074,0.046,0.03,0.023,0.019,0.019,0.064,0.057,0.075,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.039,0.03,0.089,0.087,0.075,0.096,0.093,0.065,0.055,0.078,0.039
Eye floaters,0.045,0.052,0.055,0.047,0.06,0.088,0.09,0.011,0.027,0.084,0.1,0.013,0.02,0.08,0.02,0.022,0.064,0.093,0.032,0.044,0.053,0.073,0.034,0.036,0.098,0.021,0.075,0.047,0.01,0.066,0.029,0.043,0.081,0.022,0.015,0.038,0.016,0.021,0.057,0.079,0.036,0.059,0.03,0.046,0.053,0.085,0.063,0.078,0.047,0.025,0.075,0.095,0.065,0.056,0.017,0.051,0.04,0.048,0.018,0.094,0.073,0.087,0.036,0.057,0.047,0.077,0.085,0.067,0.08,0.04,0.054,0.046,0.049,0.081,0.014,0.072,0.02,0.022,0.08,0.012,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.012,0.024,0.051,0.039,0.077,0.019,0.026,0.03,0.091,0.042,0.084
Blind spots,0.056,0.027,0.061,0.054,0.086,0.048,0.061,0.091,0.066,0.099,0.085,0.036,0.097,0.02,0.037,0.06,0.081,0.099,0.08,0.041,0.031,0.088,0.092,0.076,0.058,0.047,0.029,0.068,0.065,0.021,0.019,0.043,0.072,0.012,0.084,0.056,0.099,0.062,0.016,0.036,0.062,0.094,0.074,0.051,0.033,0.083,0.046,0.064,0.062,0.095,0.048,0.066,0.083,0.088,0.069,0.085,0.068,0.078,0.077,0.071,0.078,0.087,0.018,0.057,0.023,0.081,0.062,0.067,0.061,0.023,0.061,0.036,0.08,0.09,0.061,0.081,0.087,0.096,0.09,0.02,0.086,0.083,0.03,0.08,0.08,0.049,0.061,0.096,0.015,0.066,0.012,0.06,0.024,0.068,0.051,0.048,0.09,0.068,0.026,0.029
Increased sensitivity to touch,0.061,0.1,0.031,0.065,0.039,0.07,0.092,0.069,0.091,0.057,0.069,0.061,0.012,0.084,0.036,0.01,0.041,0.047,0.07,0.098,0.091,0.061,0.049,0.013,0.082,0.081,0.047,0.079,0.059,0.023,0.069,0.018,0.06,0.062,0.041,0.067,0.093,0.029,0.061,0.083,0.019,0.085,0.089,0.079,0.083,0.038,0.04,0.093,0.021,0.086,0.08,0.046,0.023,0.063,0.08,0.086,0.034,0.091,0.087,0.085,0.025,0.078,0.01,0.07,0.056,0.064,0.092,0.045,0.1,0.021,0.098,0.045,0.028,0.017,0.027,0.065,0.084,0.084,0.012,0.095,0.044,0.015,0.068,0.017,0.067,0.017,0.076,0.015,0.047,0.026,0.067,0.028,0.062,0.05,0.047,0.023,0.076,0.03,0.035,0.012
Pain on movement,0.4,0.05,0.035,0.025,0.074,0.05,0.023,0.046,0.088,0.07,0.064,0.041,0.06,0.018,0.089,0.075,0.084,0.093,0.093,0.098,0.061,0.094,0.016,0.08,0.012,0.094,0.071,0.034,0.097,0.028,0.051,0.018,0.022,0.094,0.042,0.094,0.028,0.092,0.6,0.052,0.093,0.052,0.6,0.1,0.092,0.071,0.017,0.025,0.044,0.03,0.048,0.4,0.098,0.039,0.052,0.059,0.098,0.044,0.027,0.05,0.6,0.7,0.8,0.7,0.3,0.3,0.062,0.4,0.5,0.6,0.014,0.6,0.9,0.3,0.5,0.8,0.071,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.089,0.09,0.063,0.084,0.019,0.027,0.057,0.098,0.025,0.8,0.076
Fatigue after exertion,0.25,0.3,0.065,0.6,0.048,0.084,0.089,0.2,0.4,0.086,0.026,0.3,0.4,0.013,0.5,0.078,0.096,0.012,0.081,0.7,0.075,0.049,0.071,0.1,0.5,0.073,0.046,0.094,0.031,0.046,0.3,0.6,0.081,0.4,0.7,0.059,0.4,0.4,0.026,0.4,0.04,0.5,0.6,0.5,0.069,0.4,0.4,0.099,0.094,0.072,0.4,0.5,0.017,0.069,0.094,0.017,0.061,0.039,0.4,0.051,0.063,0.014,0.063,0.08,0.034,0.6,0.61,0.036,0.059,0.011,0.024,0.09,0.8,0.04,0.013,0.064,0.076,0.07,0.059,0.098,0.064,0.072,0.056,0.036,0.022,0.089,0.04,0.076,0.056,0.067,0.068,0.036,0.051,0.059,0.051,0.083,0.092,0.073,0.05,0.042
Muscle stiffness in the morning,0.026,0.091,0.046,0.045,0.028,0.079,0.069,0.012,0.065,0.035,0.08,0.097,0.016,0.067,0.098,0.055,0.058,0.045,0.023,0.066,0.092,0.056,0.075,0.024,0.085,0.039,0.062,0.054,0.077,0.081,0.058,0.071,0.01,0.068,0.071,0.081,0.043,0.073,0.5,0.07,0.088,0.078,0.045,0.075,0.04,0.051,0.013,0.071,0.025,0.091,0.7,0.077,0.087,0.034,0.026,0.057,0.7,0.045,0.023,0.3,0.065,0.027,0.032,0.096,0.072,0.077,0.086,0.081,0.085,0.03,0.6,0.5,0.091,0.062,0.019,0.5,0.033,0.5,0.52,0.5,0.079,0.075,0.094,0.026,0.095,0.045,0.097,0.025,0.095,0.03,0.073,0.041,0.065,0.072,0.019,0.087,0.095,0.02,0.074,0.043
Feeling cold,0.012,0.068,0.057,0.096,0.095,0.06,0.011,0.039,0.054,0.071,0.084,0.03,0.027,0.067,0.021,0.071,0.056,0.062,0.093,0.02,0.053,0.054,0.014,0.057,0.073,0.062,0.034,0.013,0.085,0.029,0.038,0.039,0.051,0.039,0.039,0.02,0.076,0.043,0.09,0.084,0.053,0.086,0.057,0.031,0.048,0.087,0.014,0.096,0.034,0.086,0.073,0.068,0.02,0.096,0.081,0.013,0.042,0.051,0.065,0.095,0.021,0.063,0.053,0.015,0.076,0.022,0.053,0.034,0.022,0.086,0.057,0.087,0.041,0.025,0.022,0.04,0.083,0.083,0.049,0.015,0.039,0.08,0.056,0.081,0.05,0.05,0.037,0.025,0.054,0.04,0.04,0.077,0.07,0.059,0.041,0.063,0.097,0.082,0.039,0.074
Feeling hot,0.065,0.026,0.022,0.096,0.092,0.097,0.083,0.049,0.04,0.022,0.087,0.089,0.014,0.082,0.044,0.031,0.068,0.031,0.096,0.022,0.089,0.089,0.084,0.082,0.088,0.016,0.011,0.041,0.013,0.028,0.067,0.06,0.026,0.019,0.037,0.087,0.057,0.044,0.063,0.1,0.054,0.055,0.087,0.099,0.03,0.05,0.067,0.05,0.095,0.068,0.023,0.011,0.043,0.056,0.076,0.025,0.043,0.029,0.096,0.057,0.082,0.026,0.059,0.083,0.076,0.027,0.016,0.028,0.023,0.086,0.011,0.037,0.018,0.044,0.011,0.018,0.032,0.034,0.024,0.075,0.052,0.012,0.025,0.052,0.057,0.018,0.051,0.081,0.091,0.053,0.039,0.077,0.043,0.066,0.054,0.044,0.088,0.095,0.039,0.066
Low-grade fever,0.056,0.08,0.07,0.051,0.091,0.06,0.076,0.045,0.059,0.026,0.05,0.021,0.7,0.25,0.5,0.028,0.081,0.076,0.093,0.85,0.097,0.096,0.093,0.039,0.026,0.062,0.061,0.065,0.077,0.089,0.096,0.076,0.082,0.069,0.063,0.068,0.031,0.06,0.031,0.025,0.069,0.6,0.032,0.3,0.9,0.4,0.7,0.95,0.6,0.5,0.068,0.076,0.089,0.03,0.3,0.036,0.095,0.061,0.033,0.033,0.083,0.08,0.065,0.075,0.2,0.05,0.084,0.087,0.049,0.027,0.026,0.016,0.015,0.032,0.091,0.052,0.057,0.055,0.02,0.054,0.091,0.039,0.062,0.06,0.092,0.032,0.023,0.083,0.078,0.4,0.081,0.046,0.081,0.088,0.059,0.026,0.09,0.034,0.06,0.065
High fever,0.095,0.09,0.057,0.056,0.061,0.041,0.029,0.077,0.073,0.043,0.056,0.027,0.7,0.25,0.5,0.085,0.078,0.1,0.079,0.85,0.035,0.037,0.093,0.068,0.083,0.087,0.062,0.02,0.016,0.085,0.025,0.029,0.076,0.091,0.088,0.012,0.023,0.062,0.08,0.076,0.063,0.6,0.012,0.3,0.9,0.4,0.7,0.95,0.6,0.5,0.01,0.047,0.052,0.029,0.3,0.018,0.097,0.023,0.014,0.024,0.024,0.029,0.021,0.072,0.2,0.051,0.052,0.069,0.015,0.065,0.077,0.018,0.02,0.046,0.022,0.026,0.021,0.075,0.05,0.075,0.07,0.093,0.078,0.094,0.028,0.066,0.076,0.013,0.061,0.4,0.04,0.058,0.069,0.051,0.089,0.083,0.08,0.019,0.079,0.035
